City,Year,Sport,Discipline,Event,Gender,Country,Medal,Players
Montreal,1976,Aquatics,Diving,3m springboard,Women,East Germany,Silver,"KÖHLER, Christa"
Montreal,1976,Aquatics,Diving,3m springboard,Men,Soviet Union,Bronze,"KOSENKOV, Aleksandr"
Montreal,1976,Aquatics,Diving,3m springboard,Men,United States,Gold,"BOGGS, Philip George"
Montreal,1976,Aquatics,Diving,3m springboard,Men,Italy,Silver,"CAGNOTTO, Giorgio Franco"
Montreal,1976,Aquatics,Diving,10m platform,Women,United States,Bronze,"WILSON, Deborah Keplar"
Montreal,1976,Aquatics,Diving,10m platform,Men,United States,Silver,"LOUGANIS, Gregory"
Montreal,1976,Aquatics,Diving,10m platform,Women,Soviet Union,Gold,"VAYTSEKHOVSKAYA, Elena"
Montreal,1976,Aquatics,Diving,3m springboard,Women,United States,Bronze,"POTTER-MCINGVALE, Cynthia"
Montreal,1976,Aquatics,Diving,10m platform,Men,Italy,Gold,"DIBIASI, Klaus"
Montreal,1976,Aquatics,Diving,10m platform,Men,Soviet Union,Bronze,"ALEINIK, Vladimir"
Montreal,1976,Aquatics,Diving,10m platform,Women,Sweden,Silver,"KNAPE-LINDBERGH, Ulrika"
Montreal,1976,Aquatics,Diving,3m springboard,Women,United States,Gold,"CHANDLER, Jennifer Kay"
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Women,United States,Gold,"BABASHOFF, Shirley Farber"
Montreal,1976,Aquatics,Swimming,400m freestyle,Men,United States,Silver,"SHAW, Timothy Andrew"
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Women,East Germany,Silver,"PRIEMER, Petra"
Montreal,1976,Aquatics,Swimming,1500m freestyle,Men,Australia,Bronze,"HOLLAND, Stephen"
Montreal,1976,Aquatics,Swimming,400m individual medley,Men,Soviet Union,Bronze,"SMIRNOV, Andrei"
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Women,East Germany,Gold,"ANKE, Hannelore"
Montreal,1976,Aquatics,Swimming,800m freestyle,Women,United States,Silver,"BABASHOFF, Shirley Farber"
Montreal,1976,Aquatics,Swimming,800m freestyle,Women,East Germany,Gold,"THÜMER, Petra"
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Women,Canada,Bronze,"SMITH, Rebecca"
Montreal,1976,Aquatics,Swimming,200m backstroke,Men,United States,Silver,"ROCCA, Peter Drake"
Montreal,1976,Aquatics,Swimming,400m freestyle,Men,United States,Gold,"GOODELL, Brian Stuart"
Montreal,1976,Aquatics,Swimming,400m individual medley,Men,United States,Silver,"MCKEE, Alexander Timothy"
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Men,Canada,Silver,"EVANS, Clayton"
Montreal,1976,Aquatics,Swimming,200m freestyle,Men,United States,Bronze,"MONTGOMERY, James Paul"
Montreal,1976,Aquatics,Swimming,100m butterfly,Men,United States,Gold,"VOGEL, Matthew Haynes"
Montreal,1976,Aquatics,Swimming,100m backstroke,Men,East Germany,Bronze,"MATTHES, Roland"
Montreal,1976,Aquatics,Swimming,100m backstroke,Men,United States,Gold,"NABER, John Phillips"
Montreal,1976,Aquatics,Swimming,100m backstroke,Men,United States,Silver,"ROCCA, Peter Drake"
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Men,West Germany,Bronze,"KRAUS, Michael"
Montreal,1976,Aquatics,Swimming,200m freestyle,Women,Netherlands,Bronze,"BRIGITHA, Enith"
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Men,United Kingdom,Bronze,"DUNNE, David Michael"
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Men,United States,Gold,"NABER, John Phillips"
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Women,East Germany,Silver,"HEMPEL, Claudia"
